Date/Time,topic1,topic2,topic4,topic5,topic6,topic7,topic8
6/24/13,6,22,10,1,1,0,1
6/25/13,2,18,8,0,1,3,0
6/26/13,0,22,4,0,0,1,1
6/27/13,4,21,7,0,2,4,1
6/28/13,4,24,5,0,2,2,0
7/1/13,2,37,5,0,1,1,0
7/2/13,2,16,6,0,0,1,0
7/10/13,2,8,5,1,0,2,0
7/11/13,4,21,1,1,0,2,1
7/12/13,1,27,4,0,0,1,2
7/15/13,2,28,8,0,2,2,0
7/16/13,5,16,7,0,0,0,2
7/17/13,3,20,4,0,0,0,0
7/18/13,2,21,4,0,0,1,0
7/24/13,3,19,5,1,0,1,0
7/25/13,3,17,3,0,0,0,0
7/26/13,6,10,4,0,1,0,0
7/29/13,5,27,8,0,0,0,0
7/30/13,5,23,0,0,0,0,0
7/31/13,4,39,16,0,4,0,0
8/1/13,4,20,2,0,1,1,0
8/9/13,4,16,4,0,0,2,0
8/12/13,5,23,7,0,1,3,1
8/13/13,2,23,8,0,0,4,0
8/14/13,3,23,9,0,2,5,0
8/15/13,2,13,11,0,0,4,0
8/27/13,1,17,7,0,1,1,0
9/5/13,2,10,9,0,5,1,0
9/6/13,4,19,9,0,0,0,1
9/9/13,4,33,6,1,2,2,0
9/10/13,1,9,9,0,2,1,0
9/11/13,2,19,5,0,1,2,1
9/12/13,3,21,4,0,0,4,0
9/13/13,1,23,8,0,1,6,0
9/16/13,6,27,4,0,0,0,0
9/19/13,3,22,3,0,1,3,1
9/20/13,3,19,8,0,1,0,0
9/23/13,1,25,5,0,0,0,0
9/24/13,2,21,6,0,0,1,1
9/26/13,0,15,7,1,1,4,1
9/27/13,5,17,6,0,0,1,0
9/30/13,5,29,8,0,0,1,2
10/4/13,5,23,4,0,1,1,0
10/8/13,4,14,6,0,0,1,0
10/9/13,2,17,4,1,1,1,1
10/10/13,2,19,7,0,1,1,1
10/11/13,2,17,10,0,1,1,0
10/14/13,1,25,9,0,0,2,0
10/16/13,2,23,10,1,1,2,1
10/17/13,0,18,7,0,0,3,1
10/18/13,2,24,8,0,0,1,1
10/23/13,2,23,10,0,0,2,0
10/24/13,5,23,9,0,2,1,1
10/25/13,6,22,8,0,3,2,0
10/30/13,2,17,5,1,0,3,0
10/31/13,3,25,8,0,1,1,0
11/4/13,8,41,9,0,3,3,1
11/5/13,9,31,8,0,1,0,0
11/6/13,5,21,14,0,0,0,1
11/7/13,5,27,9,0,0,1,0
11/8/13,6,21,11,0,0,0,0
11/11/13,4,22,4,0,2,0,0
11/12/13,0,20,4,0,0,1,0
11/13/13,2,13,8,0,0,3,1
11/15/13,5,16,9,0,1,1,0
11/18/13,5,21,9,0,0,0,1
11/19/13,5,22,10,0,0,0,1
11/20/13,4,21,5,0,1,1,2
11/21/13,3,20,6,0,1,1,1
11/22/13,2,14,12,0,1,0,1
11/25/13,3,22,7,0,1,0,0
11/29/13,4,21,9,1,0,2,1
12/2/13,5,21,3,0,2,2,1
12/3/13,4,18,7,0,1,0,1
12/4/13,4,19,7,0,1,1,1
12/5/13,5,22,6,0,1,1,1
12/18/13,1,15,7,0,0,1,1
12/19/13,3,16,3,0,1,0,0
12/30/13,3,25,6,0,1,1,0
12/31/13,1,20,6,0,0,0,0
5/14/14,0,15,6,0,1,0,0
5/16/14,1,19,12,0,1,1,0
5/19/14,1,18,11,0,1,2,1
5/20/14,3,26,4,0,0,1,0
5/21/14,4,21,6,0,1,0,2
5/22/14,3,16,6,0,1,0,0
5/23/14,3,27,6,0,1,0,0
6/5/14,5,24,3,0,1,0,0
6/6/14,3,27,9,1,0,0,0
6/16/14,2,22,11,0,0,2,0
6/17/14,4,21,3,0,0,0,0
6/19/14,4,17,7,0,0,2,0
6/20/14,4,19,6,0,1,0,1
6/23/14,2,19,5,0,1,1,1
6/24/14,2,15,7,0,0,2,0
6/25/14,1,31,9,0,1,1,2
7/2/14,1,20,5,0,3,1,0
7/7/14,2,22,10,0,0,0,1
7/8/14,4,21,4,0,1,0,0
7/9/14,5,23,10,0,0,0,1
7/10/14,1,28,4,0,0,0,1
7/14/14,2,18,8,0,1,0,0
7/15/14,1,17,3,0,0,0,0
7/16/14,3,22,7,0,1,2,1
7/17/14,3,17,4,0,0,1,2
7/18/14,2,16,6,0,0,1,0
7/21/14,2,22,13,0,0,1,0
7/22/14,4,18,4,0,3,0,1
7/23/14,5,21,11,0,2,0,1
7/28/14,0,28,5,0,3,2,0
7/30/14,1,22,5,0,3,2,2
8/1/14,0,11,10,1,4,0,0
8/4/14,0,18,8,0,0,3,0
8/5/14,0,17,2,0,0,1,0
8/6/14,1,24,7,0,1,1,0
8/7/14,1,13,9,0,2,2,0
8/12/14,1,15,4,0,2,1,0
8/13/14,1,22,2,0,1,3,0
