,Date,Region,Country,Title,Content,URL
0,08/28/2014,GENERAL,Across Regions,"Egypt, Ethiopia, Sudan tripartite talks end with agreements","Egypt, Ethiopia and Sudan agreed to conduct studies on the effects of the Grand Ethiopian Renaissance Dam (GERD) under a six-month deadline, after two days of “honest consultations” in Sudan. The talks were headed by the water ministers of the three countries, who agreed to use one or more international consulting companies to conduct the two studies, recommended in an international report. Egypt’s Water and Irrigation Minister Hossam El-Din Moghazy was cited by state-run MENA as saying Egypt’s acceptance of the dam depends on the results of the studies and that the results are binding to all parties. The GERD, which is currently under construction, has been the cause for much tension between Egypt and Ethiopia because Egypt fears that the dam will have a detrimental effect on its share of Nile water.",http://www.dailynewsegypt.com/2014/08/27/egypt-ethiopia-sudan-tripartite-talks-end-agreements/
1,08/28/2014,CEE/CIS,Ukraine,Russian forces back separatists with tanks in eastern Ukraine,"Separatist forces in eastern Ukraine, backed by Russian tanks and armored personnel carriers, battled government forces on two fronts Thursday, a Ukrainian military official said. The fighting was taking place southeast of Donetsk, and along the nation's southern coast in the town of Novoazovsk, about 12 miles (20 km) from the Russian border, according to Mykhailo Lysenko, the deputy commander of the Ukrainian Donbas battalion.",http://edition.cnn.com/2014/08/28/world/europe/ukraine-crisis/index.html?hpt=hp_t3
2,08/28/2014,CEE/CIS,Ukraine,Rebels seize key coastal town as they open new front near Russia,"Pro-Russian rebels in eastern Ukraine seized a key coastal town yesterday in a move which opened a dangerous new front against the Kiev government. Separatist forces flying the flag of the rebel Donetsk People's republic entered the coastal town of Novoazovsk, depriving Ukraine of control of its southernmost section of border with Russia and putting the insurgents within striking distance of the centre of regional government in Mariupol. The lightning advance took place in an area tens of miles from territory previously held by the rebels, suggesting that the troops originated at least in part from the Russian side of the border.",http://www.telegraph.co.uk/news/worldnews/europe/ukraine/11060054/Ukraine-crisis-rebels-seize-key-coastal-town-as-they-open-new-front-near-Russia.html
3,08/28/2014,ESA,Kenya,"Police shoot dead three criminals near U.N., U.S. sites in Nairobi","Police killed three people trying to steal a truck near a United Nations complex and the nearby U.S. embassy in Nairobi on Wednesday, police said, but staff at both sites said they were continuing with normal business soon afterwards. Many Kenyans and foreigners in Nairobi have been vigilant since Islamist gunmen attacked the Westgate shopping mall in the capital in September last year, leaving at least 67 people dead. Other attacks have targeted Nairobi and other areas since then. Initial news of the incident provoked twitter traffic - a symptom of nervousness that still prevails. But it later proved to be an apparent criminal incident.",http://www.reuters.com/article/2014/08/27/us-kenya-security-idUSKBN0GR1F120140827
4,08/28/2014,MENA,Across MENA,Syrian planes bomb border post near Israel captured by rebels,"Syrian jets shelled rebel positions near a border crossing close to the Israeli-occupied Golan Heights that was seized by rebels in some of the heaviest clashes in the strategic area this year, rebels and residents said on Thursday. Al Qaeda's Syria wing Nusra alongside moderate rebel groups who had launched the attack early on Wednesday on the border post were ""holding ground"" despite the heavy bombardment, according to a source in the Islamist Beit al Maqdis brigade, whose fighters were involved in the fighting. Abu Iyas al Horani, a spokesman for another rebel group operating in the area, said at least six rebels were killed in the latest spillover of violence in the area that lies almost 20 kilometers west of the town of Quneitra, the main urban center, which is under state control.",http://www.reuters.com/article/2014/08/28/us-syria-crisis-border-fighting-idUSKBN0GS03J20140828
5,08/28/2014,MENA,Across MENA,UN aid convoy arrives in Gaza from Egypt,"A UN humanitarian aid convoy crossed into Gaza from Egypt on Wednesday for the first time since a blockade was introduced on the territory in 2007.  WFP said the convoy, which entered Gaza through the Rafah crossing, carried enough food to last 150 000 people for five days. The delivery follows 50 days of the deadliest violence in a decade between Hamas and Israel, which appears to have ended after a new long-term ceasefire was reached on Tuesday.",http://www.news24.com/World/News/UN-aid-convoy-arrives-in-Gaza-from-Egypt-20140827
6,08/28/2014,MENA,Lebanon,Lebanon plans law to stem growing child marriage trend,"There are no official statistics on child marriage in Lebanon, but it takes place in several rural areas in the country and has risen with the influx of Syrian refugees, experts say.  Now, Lebanon is trying to tackle the problem with legislation that would give civil authorities a role in an area that is usually the preserve of clerics. ""It was a marginal phenomenon in both Lebanon and Syria, but since the war, marrying off a girl has come to mean one less mouth to feed,"" said Jihane Latrous, a child protection specialist at UNICEF.",https://now.mmedia.me/lb/en/lebanonnews/561719-lebanon-plans-law-to-stem-growing-child-marriage-trend
7,08/28/2014,MENA,Lebanon,Lebanese army shells militant positions in Syria border zone,"The Lebanese army shelled militant positions in the border zone with Syria on Wednesday near a town that was seized by radical insurgents earlier this month, a security source said. It was the first such engagement since the radical militants including fighters affiliated to Islamic State withdrew from the town of Arsal three weeks ago following five days of deadly battles with the army. The army opened fire with artillery after observing suspicious movement by the militants, the source said. There was no immediate information on casualties. Earlier, Syrian warplanes had bombed the same area, the source said.",http://www.reuters.com/article/2014/08/27/us-lebanon-security-idUSKBN0GR29420140827
8,08/28/2014,MENA,Iraq,UN scales up food supplies for Iraqis fleeing conflict,"WFP said Wednesday that a convoy of supplies had reached 2,000 desperate families, crammed into the Iraqi city of Karbala after fleeing jihadist attacks. It said the delivery brings to 700,000 the total number of Iraqis receiving WFP assistance since June, when Sunni jihadists who already held part of Syria swept across swathes of Iraq.",http://news.yahoo.com/un-scales-food-supplies-iraqis-fleeing-conflict-195843477.html
9,08/28/2014,MENA,Libya,U.N. Security Council passes Libya resolution amid concern over secret airstrikes,Libya warned the U.N. Security Council on Wednesday that the North African state could descend into full-scale civil war if heavily armed warring factions are not disarmed. The U.N. Security Council unanimously approved a resolution on Libya on Wednesday that calls for an immediate ceasefire and includes sanctions for those involved in violence there. The Security Council's move came amid worsening conflict in Libya -- and a day after the Pentagon said it believes Egypt and the United Arab Emirates have been conducting secret airstrikes in the North African nation.,http://edition.cnn.com/2014/08/27/world/africa/libya-unrest/
