,Country,Date/Time,topic
47,Afghanistan,6/24/13 0:00,topic2
49,Afghanistan,6/25/13 0:00,topic2
48,Afghanistan,6/25/13 0:00,topic4
73,Afghanistan,6/26/13 0:00,topic2
74,Afghanistan,6/26/13 0:00,topic2
50,Afghanistan,6/27/13 0:00,topic2
51,Afghanistan,7/1/13 0:00,topic2
52,Afghanistan,7/1/13 0:00,topic2
53,Afghanistan,7/1/13 0:00,topic2
54,Afghanistan,7/2/13 0:00,topic7
55,Afghanistan,7/10/13 0:00,topic2
202,Afghanistan,7/11/13 0:00,topic2
203,Afghanistan,7/11/13 0:00,topic2
204,Afghanistan,7/12/13 0:00,topic2
56,Afghanistan,7/16/13 0:00,topic2
57,Afghanistan,7/16/13 0:00,topic2
58,Afghanistan,7/18/13 0:00,topic2
117,Afghanistan,7/24/13 0:00,topic2
107,Afghanistan,7/25/13 0:00,topic4
83,Afghanistan,7/26/13 0:00,topic2
97,Afghanistan,7/29/13 0:00,topic2
98,Afghanistan,7/29/13 0:00,topic2
99,Afghanistan,7/29/13 0:00,topic2
110,Afghanistan,7/30/13 0:00,topic2
112,Afghanistan,7/31/13 0:00,topic2
101,Afghanistan,8/1/13 0:00,topic2
102,Afghanistan,8/1/13 0:00,topic2
78,Afghanistan,8/9/13 0:00,topic2
59,Afghanistan,8/12/13 0:00,topic2
61,Afghanistan,8/12/13 0:00,topic4
60,Afghanistan,8/12/13 0:00,topic7
63,Afghanistan,8/13/13 0:00,topic2
62,Afghanistan,8/13/13 0:00,topic7
122,Afghanistan,8/15/13 0:00,topic2
121,Afghanistan,8/15/13 0:00,topic4
76,Afghanistan,8/27/13 0:00,topic2
64,Afghanistan,9/5/13 0:00,topic2
65,Afghanistan,9/5/13 0:00,topic2
66,Afghanistan,9/6/13 0:00,topic2
67,Afghanistan,9/9/13 0:00,topic2
68,Afghanistan,9/9/13 0:00,topic2
69,Afghanistan,9/9/13 0:00,topic2
70,Afghanistan,9/9/13 0:00,topic2
71,Afghanistan,9/10/13 0:00,topic2
72,Afghanistan,9/11/13 0:00,topic4
119,Afghanistan,9/13/13 0:00,topic2
120,Afghanistan,9/13/13 0:00,topic2
90,Afghanistan,9/16/13 0:00,topic2
91,Afghanistan,9/16/13 0:00,topic2
89,Afghanistan,9/16/13 0:00,topic4
105,Afghanistan,9/19/13 0:00,topic2
80,Afghanistan,9/20/13 0:00,topic2
123,Afghanistan,9/23/13 0:00,topic2
124,Afghanistan,9/23/13 0:00,topic2
125,Afghanistan,9/24/13 0:00,topic2
126,Afghanistan,9/30/13 0:00,topic2
127,Afghanistan,9/30/13 0:00,topic2
128,Afghanistan,9/30/13 0:00,topic8
129,Afghanistan,10/4/13 0:00,topic2
130,Afghanistan,10/4/13 0:00,topic4
205,Afghanistan,10/8/13 0:00,topic2
206,Afghanistan,10/9/13 0:00,topic2
104,Afghanistan,10/10/13 0:00,topic2
79,Afghanistan,10/11/13 0:00,topic2
131,Afghanistan,10/14/13 0:00,topic2
132,Afghanistan,10/14/13 0:00,topic2
133,Afghanistan,10/16/13 0:00,topic2
134,Afghanistan,10/16/13 0:00,topic2
77,Afghanistan,10/23/13 0:00,topic2
135,Afghanistan,10/24/13 0:00,topic2
136,Afghanistan,10/24/13 0:00,topic2
138,Afghanistan,10/25/13 0:00,topic2
137,Afghanistan,10/25/13 0:00,topic4
139,Afghanistan,11/4/13 0:00,topic2
140,Afghanistan,11/6/13 0:00,topic2
103,Afghanistan,11/7/13 0:00,topic2
141,Afghanistan,11/8/13 0:00,topic2
88,Afghanistan,11/11/13 0:00,topic2
108,Afghanistan,11/12/13 0:00,topic2
75,Afghanistan,11/15/13 0:00,topic2
92,Afghanistan,11/18/13 0:00,topic2
93,Afghanistan,11/18/13 0:00,topic2
94,Afghanistan,11/18/13 0:00,topic4
109,Afghanistan,11/19/13 0:00,topic2
116,Afghanistan,11/20/13 0:00,topic2
106,Afghanistan,11/21/13 0:00,topic4
81,Afghanistan,11/22/13 0:00,topic2
82,Afghanistan,11/22/13 0:00,topic2
